Afghanistan	Pashto,Persian,Dari
Iran	Persian
Iraq	Arabic,Kurdish
Ireland	Irish,English
Isle of Man	English,Manx
Israel	Hebrew,Arabic
Italy	Italian
Jamaica	English
Jan Mayen	Norwegian
Japan	Japanese
Jersey	English,French
Jordan	Arabic
Kazakhstan	Kazakh,Russian
Kenya	English,Swahili
Kiribati	English,Gilbertese
Korea, North	Korean
Korea, South	Korean
Kosovo	Albanian,Serbian
Kuwait	Arabic
Kyrgyzstan	Kyrgyz,Russian
Laos	Lao
Latvia	Latvian
Lebanon	Arabic
Lesotho	English,Sesotho
Liberia	English
Libya	Arabic
Liechtenstein	German
Lithuania	Lithuanian
Luxembourg	Luxembourgish,French,German
Macau	Chinese,Portuguese
Madagascar	Malagasy,French
Malawi	English,Chichewa
Malaysia	Malay
Maldives	Dhivehi
Mali	Arabic,Bambara,Bobo,Bozo,Dogon,French,Fula,Kassonke,Maninke,Minyanka,Senufo,Songhay languages,Soninke,Tamasheq
Malta	Maltese,English
Marshall Islands	Marshallese,English
Martinique	French
Mauritania	Arabic
Mauritius	English,French,Mauritian Creole
Mayotte	French
Mexico	Spanish
Micronesia, Federated States of	English
Moldova	Romanian
Monaco	French
Mongolia	Mongolian
Montenegro	Serbian,Montenegrin,Bosnian
Montserrat	English
Morocco	Arabic,Berber
Mozambique	Portuguese
Myanmar	Burmese
Namibia	English
Nauru	Nauruan,English
Nepal	Nepali
Netherlands	Dutch
Netherlands Antilles	Dutch,Papiamento,English
New Caledonia	French
New Zealand	English,Maori
Nicaragua	Spanish
Niger	Hausa
Nigeria	English
Niue	Niuean,English
Norfolk Island	English,Norfuk
North Macedonia	Macedonian,Albanian
Northern Mariana Islands	English,Chamorro,Carolinian
Norway	Norwegian
Oman	Arabic
Pakistan	Urdu,English
Palau	Palauan,English,Japanese,Sonsorolese,Tobian
Panama	Spanish
Papua New Guinea	English,Tok Pisin,Hiri Motu
Paraguay	Spanish,Guarani
Peru	Spanish,Quechua,Aymara
Philippines	Filipino,English
Pitcairn Islands	English,Pitkern
Poland	Polish
Portugal	Portuguese
Puerto Rico	Spanish,English
Qatar	Arabic
Reunion	French
Romania	Romanian
Russia	Russian
Rwanda	Kinyarwanda,French,English,Swahili
Saint Helena	English
Saint Kitts and Nevis	English
Saint Lucia	English
Saint Pierre and Miquelon	French
Saint Vincent and the Grenadines	English
Samoa	Samoan,English
San Marino	Italian
Sao Tome and Principe	Portuguese
Saudi Arabia	Arabic
Senegal	French
Serbia	Serbian
Seychelles	Seychellois Creole,English,French
Sierra Leone	English
Singapore	English,Malay,Chinese,Tamil
Slovakia	Slovak
Slovenia	Slovene
Solomon Islands	English
Somalia	Somali,Arabic
South Africa	Zulu,Xhosa,Afrikaans,English,Northern Sotho,Tswana,Southern Sotho,Tsonga,Swati,Venda,Ndebele
South Georgia and the South Sandwich Islands	English
Spain	Spanish
Sri Lanka	Sinhala,Tamil
Sudan	Arabic,English
Suriname	Dutch
Svalbard	Norwegian
Swaziland	English,Swazi
Sweden	Swedish
Switzerland	German,French,Italian,Romansh
Syria	Arabic
Taiwan	Chinese
Tajikistan	Tajik
Tanzania	Swahili,English
Thailand	Thai
Timor-Leste	Tetum,Portuguese
Togo	French
Tokelau	Tokelauan,English
Tonga	Tongan,English
Trinidad and Tobago	English
Tunisia	Arabic
Turkey	Turkish
Turkmenistan	Turkmen
Turks and Caicos Islands	English
Tuvalu	Tuvaluan,English
Uganda	English,Swahili
Ukraine	Ukrainian
United Arab Emirates	Arabic
United Kingdom	English
United States	English
Uruguay	Spanish
Uzbekistan	Uzbek
Vatican City	Italian,Latin
Vanuatu	Bislama,English,French
Venezuela	Spanish
Vietnam	Vietnamese
Virgin Islands	English
Wallis and Futuna	French
West Bank	Arabic
Western Sahara	Arabic,Spanish
Yemen	Arabic
Zambia	English
Zimbabwe	Chewa,Chibarwe,English,Kalanga,Koisan,Nambya,Ndau,Ndebele,Shangani,Shona,Sotho,Tonga,Tswana,Venda,Xhosa
